id,category,feature,behavior,conditions,notes,evidence,status
RS-001,common,CLI help,CLI は `--help` でコマンド一覧を表示する,ヘルプを要求した場合,"`scan`,`apply`,`rename`,`validate`,`config` が表示される","src/music_metadata_tool/interface/cli/main.py; tests/test_cli_help.py",tested
RS-002,common,CLI version,CLI は `--version` でバージョン文字列を表示して終了する,`--version` 指定時,バージョン値はパッケージ定数から取得する,"src/music_metadata_tool/interface/cli/main.py; src/music_metadata_tool/__init__.py; tests/test_cli_common.py",tested
RS-003,common,CLI logging,CLI は開始・終了・エラーのイベントをログファイルへ追記する,`scan` または `apply` 実行時,ログ書き込み失敗は処理を停止しない,"src/music_metadata_tool/interface/cli/main.py; src/music_metadata_lib/interface/cli/logging.py; tests/test_cli_common.py",tested
RS-004,common,Default log path,CLI ログの既定出力先は `storage/logs/cli.log` である,環境変数未設定時,環境変数 `MUSIC_METADATA_LOG_PATH` で変更できる,"src/music_metadata_lib/interface/cli/logging.py; README.md; tests/test_cli_common.py",tested
RS-005,config,Missing config fallback,`config.json` が存在しない場合は既定の全列構成を使用する,プロジェクト直下に `config.json` がない場合,既定列は `file_path` から `genre` までの 10 列,"src/music_metadata_lib/domain/config.py; src/music_metadata_lib/domain/constants.py; tests/test_config.py",tested
RS-006,config,Configured columns,`config.json` の `columns` が有効な場合はその列順だけを使用する,`config.json` が存在し `columns` が妥当な場合,`scan` の出力列と `apply` の更新対象の両方に影響する,"src/music_metadata_lib/domain/config.py; src/music_metadata_tool/interface/cli/main.py; README.md; tests/test_config.py",tested
RS-007,config,Config validation,`config.json` の `columns` は非空の文字列リストで重複なく `file_path` を含まなければならない,設定読み込み時,未対応列や重複や空文字はエラーになる,"src/music_metadata_lib/domain/config.py; tests/test_config.py",tested
RS-008,config,Invalid config exit,`config.json` が読めないか不正な場合は CLI は標準エラーへメッセージを出して非ゼロ終了する,`scan` または `apply` 実行時に設定エラーが発生した場合,エラーメッセージは設定ファイル由来であることを含む,"src/music_metadata_tool/interface/cli/main.py; src/music_metadata_lib/domain/config.py; tests/test_cli_scan.py; tests/test_cli_apply.py",tested
RS-009,scan,Recursive audio scan,`scan` は指定ディレクトリ配下を再帰的に走査し対応拡張子の音楽ファイルだけを対象にする,対象ディレクトリが存在しアクセス可能な場合,拡張子比較は大文字小文字を区別しない,"src/music_metadata_lib/application/scan.py; src/music_metadata_lib/infrastructure/scan_adapters.py; tests/test_scan_use_case.py; tests/test_scan_adapters.py",tested
RS-010,scan,Supported extensions,"`scan` の対象拡張子は `.mp3`, `.flac`, `.wav`, `.aiff`, `.aif`, `.ogg`, `.m4a` である",再帰走査時,他拡張子は出力対象外,"src/music_metadata_lib/domain/constants.py; README.md; tests/test_constants.py",tested
